id;Name;filename;quelleID;created_by;created_on
80;;;80;max.verstappen;21.11.2017 19:05
81;;;81;max.verstappen;21.11.2017 19:05
82;;;82;max.verstappen;21.11.2017 19:05
83;;;83;max.verstappen;21.11.2017 19:05
84;;;84;max.verstappen;21.11.2017 19:05
85;;;85;max.verstappen;21.11.2017 19:05
86;;;86;max.verstappen;21.11.2017 19:05
87;;;87;max.verstappen;21.11.2017 19:05
88;;;88;max.verstappen;21.11.2017 19:05
89;;;89;max.verstappen;21.11.2017 19:05
459;quelle_doc.Name1756656205745412e706466.pdf;03 180327 KaufV WEA.pdf;459;lando.norris;26.06.2018 13:48
460;quelle_doc.Name.045503320756e6420453133382e6d7367.msg;02 180416 Preise E126 EP3 und E138.msg;460;lando.norris;17.04.2018 10:16
462;quelle_doc.Name.2303138303530332e706466.pdf;5xN117_HH91_20180503.pdf;462;lando.norris;04.05.2018 10:07
464;quelle_doc.Name.20323032312066c3bc72204672616e6b72656963682e6d7367.msg;Delivery in 2021 für Frankreich.msg;464;lando.norris;18.05.2018 09:32
465;quelle_doc.Name.0324d5720484839356d2e706466.pdf;V110-2 0 2 2MW HH95m.pdf;465;lando.norris;18.05.2018 09:53
466;;;466;lando.norris;22.05.2018 17:09
467;quelle_doc.Name.52e30362e31382e706466.pdf;Offer Letter_15.06.18.pdf;467;lando.norris;26.06.2018 14:45
468;quelle_doc.Name.736569746967207369676e65642e706466.pdf;beiseitig signed.pdf;468;lando.norris;27.06.2018 13:52
