Id;Name;nabenhoehe; turmtyp;auslaufdatum;genehmigungsunterlagen;windklasse;wea_preisID;gesamthoehe
80;;76,0; ;;;;80;100,0
81;;73,0; ;;;;81;99,45
82;;114,0; ;;;;82;149,50
83;;113,0; ;;;;83;148,50
84;;113,0; ;;;;84;148,50
85;;113,0; ;;;;85;148,50
86;;99,0; ;;;;86;134,50
87;;99,0; ;;;;87;134,50
88;;98,0; ;;;;88;133,50
89;;98,0; ;;;;89;133,50
473;;149,0;Stahl;;Ja;;473;212,0
474;;86,0;Stahl;;Ja;;474;149,50
475;;99,0;Hybrid;;Ja;;475;162,0
476;;135,0;Hybrid;;Ja;;476;198,0
477;;81,0;Stahl;;Ja;;477;150,0
478;;111,0;Stahl;;Ja;;478;180,0
479;;131,0;Hybrid;;Ja;;479;200,0
480;;160,0;Hybrid;;Ja;;480;229,0
481;;91,0;Stahl;;Ja;IEC3a;481;149,40
482;;91,0;Stahl;;Ja;;482;149,40
483;;91,0;Stahl;;Ja;;483;149,40
484;;85,0;Stahl;;;;484;136,50
485;;95,0;Stahl;;JA;IEC3A;485;150,0
486;;91,50;Stahl;;ja;;486;150,0
487;;84,0;Stahl;;JA;;487;149,50
488;;122,0;Stahl;;;;488;190,0
489;;132,0;Stahl;; JA;;489;195,0
490;;161,0;Hybrid;;JA;;490;240,0
491;;164,50;Hybrid;;JA;;491;233,0
